indicator
"""1.1.1"""
"""3.4.1"""
"""4.3.1"""
"""5.5.2"""
"""7.3.1"""
"""8.1.1"""
"""8.2.1"""
"""9.2.1"""
"""9.4.1"""
"""12.2.2"""
"""8.4.2"""
"""13.2.2"""
"""14.3.1"""
